period;originCountries;quantity
2018-01-05;Belgium;16.76
2018-01-05;Canada;75.25
2018-01-05;Netherlands;12.56
2018-01-12;Brazil;49.11
2018-01-12;Canada;75.29
2018-01-12;Colombia;4.63
2018-01-12;Netherlands;6.61
2018-01-12;Russian Federation;37.21
2018-01-19;Belgium;7.21
2018-01-19;Brazil;22.95
2018-01-19;Canada;104.24
2018-01-26;Belgium;24.67
2018-01-26;Brazil;24.30
2018-01-26;Canada;43.27
2018-01-26;Netherlands;72.27
2018-01-26;Qatar;127.71
2018-01-26;Togo;9.28
2018-01-26;United Arab Emirates;96.89
2018-02-02;Belgium;33.82
2018-02-02;Brazil;26.80
2018-02-02;Canada;105.70
2018-02-02;Colombia;46.45
2018-02-02;Saudi Arabia;35.75
2018-02-09;Brazil;20.44
2018-02-09;Canada;53.00
2018-02-09;Colombia;21.43
2018-02-09;India;96.08
2018-02-09;Saudi Arabia;144.01
2018-02-16;Canada;80.61
2018-02-16;Colombia;18.91
2018-02-16;India;96.81
2018-02-16;Russian Federation;46.20
2018-02-16;Saudi Arabia;28.20
2018-02-16;Sweden;23.81
2018-02-23;Canada;84.73
2018-02-23;India;40.77
2018-03-02;Canada;26.19
2018-03-02;Colombia;26.84
2018-03-02;Oman;21.03
2018-03-02;Qatar;86.30
2018-03-09;Canada;113.17
2018-03-09;India;69.13
2018-03-09;Portugal;8.46
2018-03-09;Qatar;42.58
2018-03-16;Canada;98.79
2018-03-16;Colombia;0.61
2018-03-16;Nicaragua;21.67
2018-03-23;Canada;146.19
2018-03-23;Qatar;44.17
2018-03-30;Canada;95.92
2018-04-06;Brazil;49.42
2018-04-06;Canada;89.99
2018-04-06;Russian Federation;31.06
2018-04-13;Canada;100.44
2018-04-20;Canada;91.78
2018-04-20;Japan;45.58
2018-04-20;Malaysia;34.64
2018-04-27;Canada;34.05
2018-04-27;Qatar;13.12
2018-05-04;Canada;51.09
2018-05-04;Malaysia;4.17
2018-05-04;Singapore Republic;28.97
2018-05-11;Canada;73.02
2018-05-11;Russian Federation;24.81
2018-05-18;Canada;21.57
2018-05-18;Russian Federation;1.70
2018-05-25;Canada;124.47
2018-05-25;China;12.47
2018-05-25;Italy;3.62
2018-06-01;Canada;104.27
2018-06-01;Russian Federation;70.93
2018-06-01;South Korea;30.56
2018-06-08;Canada;76.79
2018-06-15;Canada;47.29
2018-06-15;Indonesia;30.37
2018-06-15;South Korea;11.16
2018-06-15;Taiwan;4.39
2018-06-22;Belgium;10.20
2018-06-22;Canada;52.10
2018-06-29;Canada;47.43
2018-06-29;Japan;7.10
2018-07-06;Canada;8.29
2018-07-06;Canada;80.26
2018-07-06;South Korea;24.29
2018-07-13;Canada;111.03
2018-07-20;Canada;115.14
2018-07-20;China;27.76
2018-07-20;Oman;55.14
2018-07-20;Qatar;55.14
2018-07-20;Spain;48.57
2018-07-27;Canada;45.72
2018-08-03;Canada;91.63
2018-08-03;Colombia;42.40
2018-08-03;Panama;4.72
2018-08-03;Russian Federation;31.36
2018-08-03;South Korea;4.38
2018-08-10;Canada;76.43
2018-08-10;Russian Federation;9.96
2018-08-17;Canada;61.18
2018-08-17;Latvia;8.57
2018-08-17;Russian Federation;29.43
2018-08-24;Canada;99.26
2018-08-24;China;23.24
2018-08-24;Latvia;32.22
2018-08-24;Saudi Arabia;106.17
2018-08-24;Spain;48.30
2018-08-31;Canada;42.93
2018-08-31;Japan;7.10
2018-08-31;Russian Federation;146.83
2018-09-07;Canada;28.19
2018-09-07;Netherlands;4.29
2018-09-07;Russian Federation;4.69
2018-09-14;Canada;68.76
2018-09-14;Russian Federation;35.67
2018-09-14;South Korea;12.43
2018-09-21;Belgium;63.31
2018-09-21;Canada;72.71
2018-09-21;Russian Federation;35.93
2018-09-28;Canada;100.63
2018-09-28;Colombia;46.50
2018-09-28;India;35.78
2018-10-05;Canada;17.48
2018-10-05;Colombia;23.71
2018-10-05;Saudi Arabia;82.10
2018-10-05;United Arab Emirates;50.76
2018-10-05;United States Virgin Islands;47.46
2018-10-12;Canada;94.17
2018-10-12;Colombia;7.90
2018-10-12;Peru;29.28
2018-10-19;Canada;70.57
2018-10-19;Saudi Arabia;106.17
2018-10-19;Spain;35.87
2018-10-26;Bahamas;71.89
2018-10-26;Canada;78.48
2018-11-02;Canada;3.71
2018-11-02;Saudi Arabia;101.28
2018-11-09;Bahamas;83.16
2018-11-09;Canada;76.52
2018-11-09;Colombia;49.35
2018-11-16;Bahamas;8.75
2018-11-16;Brazil;52.21
2018-11-16;Canada;107.78
2018-11-16;Guatemala;11.38
2018-11-23;Canada;60.03
2018-11-23;Colombia;40.67
2018-11-23;South Korea;63.96
2018-11-30;Canada;32.48
2018-11-30;China;72.87
2018-11-30;Colombia;44.97
2018-11-30;Japan;23.14
2018-11-30;Qatar;10.16
2018-11-30;United Arab Emirates;6.34
2018-12-07;Canada;52.87
2018-12-07;Colombia;40.03
2018-12-07;United Arab Emirates;18.28
2018-12-14;Canada;41.29
2018-12-14;India;22.00
2018-12-14;Japan;32.93
2018-12-21;Canada;6.93
2018-12-21;Colombia;46.71
2018-12-21;Japan;30.18
2018-12-21;Malaysia;11.44
2018-12-21;Saudi Arabia;104.99
2018-12-28;Canada;115.61
2018-12-28;Colombia;71.32
2019-01-04;Canada;57.09
2019-01-04;Colombia;45.04
2019-01-11;Bahamas;73.15
2019-01-11;Canada;86.21
2019-01-11;Colombia;50.49
2019-01-11;India;109.95
2019-01-11;Japan;12.55
2019-01-11;Qatar;49.86
2019-01-11;South Korea;20.59
2019-01-11;Togo;45.35
2019-01-18;Canada;65.44
2019-01-18;India;113.85
2019-01-18;Qatar;28.81
2019-01-18;Ukraine;31.09
2019-01-25;Canada;66.12
2019-01-25;India;52.03
2019-01-25;Netherlands;4.24
2019-01-25;Qatar;17.29
2019-01-25;Saudi Arabia;110.48
2019-02-01;Canada;42.86
2019-02-01;Colombia;41.00
2019-02-01;Guatemala;18.70
2019-02-01;India;107.23
2019-02-01;Nigeria;18.87
2019-02-08;Canada;59.66
2019-02-08;Colombia;40.68
2019-02-08;India;285.71
2019-02-08;Nigeria;30.49
2019-02-08;Russian Federation;46.08
2019-02-08;Spain;7.58
2019-02-08;United Arab Emirates;44.29
2019-02-15;Canada;110.94
2019-02-15;Colombia;18.37
2019-02-15;India;215.39
2019-02-22;Canada;67.89
2019-02-22;Colombia;40.31
2019-02-22;Qatar;29.36
2019-02-22;Saudi Arabia;85.97
2019-02-22;South Korea;22.48
2019-03-01;Canada;102.10
2019-03-01;China;39.84
2019-03-01;Colombia;26.51
2019-03-01;Guatemala;22.83
2019-03-01;India;85.71
2019-03-08;Bahamas;41.76
2019-03-08;Canada;114.64
2019-03-15;Canada;61.55
2019-03-15;South Korea;28.67
2019-03-22;Canada;173.54
2019-03-22;South Korea;44.96
2019-03-29;Canada;98.75
2019-03-29;South Korea;45.05
2019-04-05;Canada;51.94
2019-04-05;Colombia;50.76
2019-04-12;Belgium;10.96
2019-04-12;Canada;43.72
2019-04-12;Netherlands;15.88
2019-04-19;Belgium;33.14
2019-04-19;Canada;109.14
2019-04-19;Colombia;81.63
2019-04-19;Russian Federation;52.86
2019-04-26;Belgium;5.61
2019-04-26;Canada;120.27
2019-04-26;Russian Federation;15.93
2019-05-03;Canada;60.61
2019-05-03;Colombia;17.87
2019-05-03;Mexico;21.43
2019-05-10;Canada;17.86
2019-05-10;Egypt;5.89
2019-05-17;Canada;122.30
2019-05-17;Guatemala;40.29
2019-05-24;Brazil;9.42
2019-05-24;Canada;67.80
2019-05-24;Colombia;46.81
2019-05-24;Netherlands;44.32
2019-05-24;Russian Federation;15.37
2019-05-24;South Korea;15.03
2019-05-31;Brazil;17.77
2019-05-31;Canada;17.57
2019-05-31;Colombia;27.85
2019-05-31;South Korea;13.69
2019-06-07;Brazil;5.58
2019-06-07;Canada;55.25
2019-06-07;Colombia;46.63
2019-06-14;Brazil;49.35
2019-06-14;Canada;65.96
2019-06-14;Colombia;39.73
2019-06-21;Canada;50.57
2019-06-28;Canada;71.81
2019-06-28;Colombia;27.47
2019-06-28;Netherlands;14.24
2019-07-05;Canada;4.76
2019-07-05;Colombia;18.61
2019-07-05;Israel;4.70
2019-07-12;Brazil;41.59
2019-07-12;Canada;113.97
2019-07-12;Kuwait;29.08
2019-07-12;South Korea;26.84
2019-07-12;Spain;24.84
2019-07-19;Brazil;26.83
2019-07-19;Canada;26.51
2019-07-19;Colombia;37.75
2019-07-26;Canada;17.86
2019-07-26;Colombia;49.35
2019-08-02;Belgium;19.35
2019-08-02;Brazil;19.55
2019-08-02;Canada;97.51
2019-08-02;Colombia;17.91
2019-08-02;Indonesia;91.70
2019-08-02;Russian Federation;17.86
2019-08-02;South Africa;3.05
2019-08-02;South Korea;10.53
2019-08-09;Canada;101.63
2019-08-09;Japan;45.74
2019-08-16;Canada;93.18
2019-08-16;Colombia;32.60
2019-08-16;Panama;13.04
2019-08-16;Qatar;5.33
2019-08-23;Canada;57.56
2019-08-23;Qatar;8.34
2019-08-30;Canada;89.05
2019-08-30;Colombia;70.65
2019-08-30;South Korea;16.47
2019-09-06;Canada;43.21
2019-09-06;Ghana;22.23
2019-09-06;Japan;7.83
2019-09-13;Canada;108.64
2019-09-13;Colombia;53.80
2019-09-20;Canada;36.66
2019-09-27;Brazil;45.74
2019-09-27;Canada;64.78
2019-10-04;Canada;117.52
2019-10-04;United Kingdom;36.12
2019-10-11;Canada;92.28
2019-10-11;Colombia;82.30
2019-10-18;Canada;103.95
2019-10-18;Japan;5.71
2019-10-25;Canada;155.42
2019-11-01;Canada;150.95
2019-11-01;Colombia;78.29
2019-11-08;Canada;178.42
2019-11-08;Colombia;52.61
2019-11-08;Japan;41.62
2019-11-08;Russian Federation;12.68
2019-11-15;Canada;159.68
2019-11-15;Colombia;63.48
2019-11-15;India;106.17
2019-11-15;Netherlands;37.99
2019-11-15;Russian Federation;24.08
2019-11-15;Trinidad and Tobago;6.92
2019-11-22;Canada;128.12
2019-11-22;Latvia;8.57
2019-11-29;Canada;109.55
2019-11-29;Latvia;38.57
2019-11-29;Spain;6.66
2019-12-06;Canada;124.92
2019-12-06;Colombia;41.52
2019-12-06;Netherlands;107.29
2019-12-06;Russian Federation;93.35
2019-12-13;Canada;163.47
2019-12-13;India;105.34
2019-12-13;Italy;11.51
2019-12-13;Russian Federation;17.14
2019-12-20;Canada;66.50
2019-12-20;Colombia;40.50
2019-12-27;Canada;108.32
2019-12-27;Guatemala;41.94
2019-12-27;India;109.46
2019-12-27;Netherlands;96.85
2019-12-27;South Korea;7.79
2020-01-03;Canada;5.61
2020-01-03;Canada;153.24
2020-01-03;Colombia;39.77
2020-01-03;India;46.97
2020-01-10;Canada;61.86
2020-01-10;Colombia;82.55
2020-01-10;India;68.35
2020-01-10;Netherlands;37.55
2020-01-17;Canada;115.97
2020-01-24;Canada;76.79
2020-01-31;Canada;159.37
2020-01-31;Colombia;23.07
2020-01-31;Qatar;11.43
2020-02-07;Canada;103.08
2020-02-07;Colombia;14.51
2020-02-07;Russian Federation;18.23
2020-02-14;Canada;104.36
2020-02-14;Colombia;7.13
2020-02-14;United Kingdom;23.07
2020-02-21;Canada;101.75
2020-02-21;Colombia;45.74
2020-02-21;Peru;12.33
2020-02-28;Canada;127.28
2020-02-28;Peru;9.92
2020-03-06;Canada;108.34
2020-03-06;Colombia;31.46
2020-03-13;Canada;119.00
2020-03-20;Canada;148.00
2020-03-27;Canada;58.21
2020-03-27;Saudi Arabia;14.47
2020-03-27;South Korea;3.57
2020-04-03;Canada;153.29
2020-04-03;South Korea;7.14
2020-04-03;United Kingdom;4.16
2020-04-10;Canada;202.26
2020-04-10;Russian Federation;70.88
2020-04-10;United Kingdom;0.91
2020-04-17;Canada;80.16
2020-04-24;Canada;138.02
2020-04-24;Spain;43.54
2020-05-01;Canada;127.10
2020-05-01;India;108.35
2020-05-01;Qatar;47.22
2020-05-01;Spain;48.14
2020-05-08;Canada;92.36
2020-05-08;Colombia;36.86
2020-05-08;Egypt;11.29
2020-05-08;Italy;18.29
2020-05-15;Canada;82.56
2020-05-15;Italy;25.04
2020-05-15;Russian Federation;40.70
2020-05-15;South Korea;42.64
2020-05-22;Canada;101.71
2020-05-22;South Korea;12.57
2020-05-29;Canada;129.57
2020-06-05;Canada;123.30
2020-06-05;Colombia;68.92
2020-06-05;India;45.58
2020-06-12;Canada;90.72
2020-06-12;Colombia;11.71
2020-06-12;Qatar;35.65
2020-06-19;Canada;93.62
2020-06-26;Canada;65.52
2020-06-26;Colombia;41.43
2020-06-26;South Korea;6.80
2020-07-03;Bahamas;35.43
2020-07-03;Canada;23.43
2020-07-03;Italy;35.41
2020-07-10;Canada;86.54
2020-07-10;Colombia;42.95
2020-07-17;Canada;42.58
2020-07-24;Canada;86.20
2020-07-24;India;39.36
2020-07-24;South Korea;13.60
2020-07-31;Canada;135.54
2020-08-07;Canada;35.43
2020-08-07;India;17.29
2020-08-07;South Korea;67.79
2020-08-14;Canada;35.71
2020-08-14;South Korea;27.34
2020-08-21;Bahamas;21.76
2020-08-21;Canada;23.14
2020-08-21;South Korea;27.59
2020-08-28;Canada;96.18
2020-08-28;Colombia;45.63
2020-08-28;South Africa;17.62
2020-09-04;Bahamas;43.04
2020-09-04;Brazil;6.34
2020-09-04;Canada;81.61
2020-09-04;Colombia;15.54
2020-09-04;Qatar;18.28
2020-09-04;Spain;38.36
2020-09-11;Bahamas;17.91
2020-09-11;Canada;42.86
2020-09-11;Colombia;4.59
2020-09-18;Bahamas;31.30
2020-09-18;Canada;50.09
2020-09-18;Colombia;53.32
2020-09-18;Netherlands;28.99
2020-09-18;Nigeria;46.37
2020-09-25;Bahamas;18.14
2020-09-25;Canada;122.40
2020-10-02;Bahamas;64.40
2020-10-02;Canada;100.78
2020-10-02;Colombia;32.14
2020-10-09;Canada;119.91
2020-10-09;China;44.14
2020-10-09;Sweden;7.70
2020-10-16;Canada;71.88
2020-10-16;China;41.37
2020-10-16;Colombia;28.73
2020-10-16;Turkey;19.94
2020-10-16;United States Virgin Islands;13.07
2020-10-23;Canada;101.33
2020-10-23;Colombia;82.47
2020-10-23;Netherlands;127.55
2020-10-23;Russian Federation;47.45
2020-10-30;Canada;111.52
2020-10-30;Colombia;80.01
2020-10-30;India;86.43
2020-10-30;Malaysia;106.17
2020-10-30;United Arab Emirates;16.62
2020-11-06;American Samoa;1.47
2020-11-06;Belgium;40.36
2020-11-06;Canada;51.43
2020-11-06;Latvia;8.81
2020-11-06;Netherlands;9.29
2020-11-06;Nigeria;35.95
2020-11-06;Russian Federation;38.68
2020-11-06;South Korea;8.23
2020-11-06;Taiwan;2.65
2020-11-13;Canada;55.51
2020-11-13;Netherlands;37.42
2020-11-13;South Korea;77.12
2020-11-20;Bahamas;7.71
2020-11-20;Canada;76.11
2020-11-20;Colombia;63.79
2020-11-20;Netherlands;71.80
2020-11-20;Russian Federation;21.94
2020-11-27;Bahamas;49.35
2020-11-27;Belgium;103.82
2020-11-27;Canada;114.52
2020-11-27;Colombia;10.22
2020-11-27;Netherlands;20.68
2020-11-27;Russian Federation;25.52
2020-11-27;South Korea;50.15
2020-11-27;United Kingdom;74.77
2020-12-04;Belgium;108.50
2020-12-04;Canada;101.18
2020-12-04;Colombia;18.03
2020-12-04;Netherlands;149.52
2020-12-04;Togo;46.04
2020-12-04;United Kingdom;17.45
2020-12-11;Belgium;40.36
2020-12-11;Canada;153.55
2020-12-11;Colombia;11.11
2020-12-11;India;15.99
2020-12-11;Netherlands;39.47
2020-12-11;Nigeria;50.73
2020-12-11;Qatar;46.31
2020-12-11;South Korea;44.79
2020-12-11;Sudan;46.09
2020-12-11;United Kingdom;37.23
2020-12-18;Belgium;91.15
2020-12-18;Canada;100.49
2020-12-18;Colombia;35.03
2020-12-18;Netherlands;39.10
2020-12-18;Russian Federation;36.37
2020-12-18;United Kingdom;130.30
2020-12-25;Belgium;42.73
2020-12-25;Canada;117.30
2020-12-25;India;165.01
2020-12-25;Netherlands;34.86
2020-12-25;Qatar;46.84
2020-12-25;United Kingdom;28.77
2021-01-01;Netherlands;48.64
2021-01-01;Belgium;72.75
2021-01-01;Canada;161.85
2021-01-01;Colombia;37.53
2021-01-01;India;66.14
2021-01-01;Netherlands;88.16
2021-01-01;Nigeria;44.23
2021-01-01;Taiwan;8.21
2021-01-01;Togo;44.93
2021-01-08;Bahamas;42.86
2021-01-08;Belgium;63.78
2021-01-08;Canada;125.51
2021-01-08;Colombia;49.60
2021-01-08;Malaysia;35.71
2021-01-15;Bahamas;48.33
2021-01-15;Canada;80.14
2021-01-15;Colombia;14.52
2021-01-15;Netherlands;39.58
2021-01-15;Nigeria;45.52
2021-01-15;United Kingdom;37.99
2021-01-22;Belgium;84.19
2021-01-22;Canada;82.60
2021-01-22;Netherlands;71.85
2021-01-22;Oman;14.29
2021-01-22;Russian Federation;89.46
2021-01-22;United Kingdom;14.29
2021-01-29;Canada;150.29
2021-01-29;Colombia;32.29
2021-01-29;Netherlands;40.10
2021-01-29;Oman;96.52
2021-01-29;United Kingdom;64.71
2021-02-05;Canada;111.32
2021-02-05;Colombia;55.37
2021-02-05;Finland;54.29
2021-02-05;Netherlands;46.93
2021-02-05;Nigeria;44.18
2021-02-05;United Kingdom;41.00
2021-02-12;Bahamas;49.97
2021-02-12;Canada;119.85
2021-02-12;Colombia;62.43
2021-02-12;India;37.01
2021-02-12;United Kingdom;18.57
2021-02-12;United States Virgin Islands;42.88
2021-02-19;Canada;153.64
2021-02-19;South Korea;44.71
2021-02-19;United Kingdom;68.45
2021-02-26;Canada;119.49
2021-02-26;China;68.12
2021-02-26;Colombia;22.86
2021-02-26;Latvia;44.29
2021-02-26;Malaysia;8.14
2021-02-26;Nigeria;49.35
2021-02-26;Oman;25.35
2021-02-26;Qatar;46.82
2021-03-05;Belgium;65.06
2021-03-05;Canada;65.13
2021-03-05;Colombia;57.52
2021-03-05;India;110.81
2021-03-05;Netherlands;71.91
2021-03-12;Bahrain;44.17
2021-03-12;Belgium;74.59
2021-03-12;Canada;116.00
2021-03-12;Netherlands;133.17
2021-03-12;Nigeria;29.29
2021-03-12;Saudi Arabia;49.84
2021-03-19;Belgium;85.31
2021-03-19;Brazil;5.55
2021-03-19;Canada;177.50
2021-03-19;India;108.35
2021-03-19;Latvia;47.42
2021-03-19;Netherlands;167.70
2021-03-19;Nigeria;17.33
2021-03-19;Russian Federation;42.14
2021-03-19;United States Virgin Islands;10.81
2021-03-26;Belgium;27.49
2021-03-26;Canada;124.74
2021-03-26;Colombia;70.52
2021-03-26;Netherlands;89.86
2021-03-26;Qatar;41.82
2021-04-02;Bahamas;2.86
2021-04-02;Belgium;65.62
2021-04-02;Canada;143.55
2021-04-02;Nigeria;50.81
2021-04-02;Norway;73.14
2021-04-09;Canada;95.16
2021-04-09;India;54.99
2021-04-09;Qatar;36.52
2021-04-09;South Korea;10.39
2021-04-09;Togo;39.32
2021-04-09;United Arab Emirates;18.25
2021-04-16;Canada;88.28
2021-04-16;Malta;20.11
2021-04-16;South Korea;36.28
2021-04-16;Taiwan;2.46
2021-04-16;United States Virgin Islands;23.99
2021-04-23;Canada;85.26
2021-04-23;Russian Federation;2.88
2021-04-30;Canada;130.04
2021-04-30;Malta;20.11
2021-05-07;Bahamas;40.31
2021-05-07;Canada;89.02
2021-05-07;Colombia;43.97
2021-05-07;South Korea;45.00
2021-05-14;Canada;58.78
2021-05-14;China;4.98
2021-05-14;Colombia;4.29
2021-05-14;Egypt;2.74
2021-05-14;Portugal;37.03
2021-05-21;Belgium;109.04
2021-05-21;Canada;95.19
2021-05-21;Colombia;80.30
2021-05-28;Belgium;4.35
2021-05-28;Canada;71.39
2021-05-28;Netherlands;99.88
2021-05-28;Saudi Arabia;96.30
2021-06-04;Canada;103.68
2021-06-04;Colombia;35.68
2021-06-04;Russian Federation;130.04
2021-06-04;Saudi Arabia;13.03
2021-06-11;Belgium;101.54
2021-06-11;Canada;82.61
2021-06-11;Colombia;7.10
2021-06-11;Nigeria;22.11
